1.190000000000000041e-06,3.409393798392557073e-07,3.590000000000000250e-07,5.369999999999999774e-03
1.469999999999999953e-03,2.328731170564424247e-06,3.280000000000000254e-07,1.089999999999999940e-06
6.910000000000000333e-07,4.201872627618286060e-07,2.949999999999999931e-03,3.000000000000000062e-03
1.849999999999999908e-02,1.884709810838103294e-03,9.790000000000000091e-02,9.779999999999999805e-02
6.710000000000000130e-06,1.559918359816947486e-06,5.250000000000000326e-03,5.239999999999999866e-03
1.930000000000000118e-02,2.287511451868340373e-04,3.439999999999999725e-01,3.449999999999999734e-01
5.369999999999999746e-05,2.108663693434209563e-06,4.410000000000000031e-02,4.440000000000000197e-02
6.920000000000000153e-05,8.800041086942655966e-07,8.480000000000000038e-02,8.509999999999999509e-02
1.669999999999999957e-02,1.314305700361728668e-02,1.019999999999999934e-01,1.000000000000000056e-01
8.760000000000000832e-06,1.073213411473261658e-06,3.589999999999999984e-04,3.600000000000000227e-04
6.260000000000000286e-02,1.278802938759326935e-02,3.259999999999999704e-02,6.560000000000000553e-02
7.410000000000000205e-06,1.207855120810563676e-06,8.419999999999999707e-02,8.400000000000000522e-02
4.259999999999999898e-01,2.018726170063018799e-01,5.330000000000000293e-01,5.260000000000000231e-01
2.680000000000000090e-03,3.377709390406380408e-06,4.310000000000000137e-04,5.400000000000000069e-04
4.449999999999999963e-03,3.804777179539087228e-06,5.459999999999999576e-03,5.550000000000000246e-03
2.479999999999999913e-02,5.733611527830362320e-03,4.080000000000000293e-02,4.120000000000000051e-02
6.970000000000000182e-06,2.708039801291306503e-06,9.310000000000000567e-03,9.299999999999999239e-03
8.820000000000000257e-05,1.602775409992318600e-05,5.449999999999999983e-02,5.820000000000000173e-02
1.849999999999999908e-02,2.922394080087542534e-03,3.870000000000000176e-03,4.700000000000000185e-03
6.000000000000000152e-05,2.813359742503962480e-06,2.170000000000000054e-02,2.149999999999999828e-02
8.359999999999999918e-05,5.207901949688675813e-07,2.160000000000000019e-07,1.840000000000000001e-05
1.110000000000000011e-04,5.043058263254351914e-05,4.050000000000000128e-02,4.100000000000000172e-02
2.080000000000000075e-05,1.038148752741108183e-06,1.250000000000000026e-04,1.259999999999999998e-04
2.089999999999999844e-03,1.345694499832461588e-06,3.500000000000000073e-03,3.469999999999999994e-03
2.069999999999999965e-02,3.682991955429315567e-03,1.039999999999999952e-02,1.099999999999999936e-02
